Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: tqdm in /home/shgoel/.local/lib/python3.12/site-packages (4.67.1)
Using: cuda
[Epoch 1] rating=2.4507, contrastive=15.0630
[Epoch 1/30] Train loss=3.957, Valid RMSE=1.552
[Epoch 2] rating=2.4261, contrastive=14.9039
[Epoch 2/30] Train loss=3.917, Valid RMSE=1.552
[Epoch 3] rating=2.4261, contrastive=14.7361
[Epoch 3/30] Train loss=3.900, Valid RMSE=1.552
[Epoch 4] rating=2.4261, contrastive=14.5775
[Epoch 4/30] Train loss=3.884, Valid RMSE=1.552
[Epoch 5] rating=2.4261, contrastive=14.4617
[Epoch 5/30] Train loss=3.872, Valid RMSE=1.552
[Epoch 6] rating=2.4261, contrastive=14.3597
[Epoch 6/30] Train loss=3.862, Valid RMSE=1.552
[Epoch 7] rating=2.4261, contrastive=14.2536
[Epoch 7/30] Train loss=3.851, Valid RMSE=1.552
[Epoch 8] rating=2.4261, contrastive=14.1390
[Epoch 8/30] Train loss=3.840, Valid RMSE=1.552
[Epoch 9] rating=2.4261, contrastive=14.0122
[Epoch 9/30] Train loss=3.827, Valid RMSE=1.552
[Epoch 10] rating=2.4261, contrastive=13.9102
[Epoch 10/30] Train loss=3.817, Valid RMSE=1.552
[Epoch 11] rating=2.4261, contrastive=14.3564
[Epoch 11/30] Train loss=3.862, Valid RMSE=1.552
[Epoch 12] rating=2.1447, contrastive=14.3307
[Epoch 12/30] Train loss=3.578, Valid RMSE=0.964
[Epoch 13] rating=0.8236, contrastive=14.5024
[Epoch 13/30] Train loss=2.274, Valid RMSE=0.879
[Epoch 14] rating=0.7627, contrastive=14.5023
[Epoch 14/30] Train loss=2.213, Valid RMSE=0.866
[Epoch 15] rating=0.7394, contrastive=14.4594
[Epoch 15/30] Train loss=2.185, Valid RMSE=0.861
[Epoch 16] rating=0.7234, contrastive=14.4250
[Epoch 16/30] Train loss=2.166, Valid RMSE=0.857
[Epoch 17] rating=0.7090, contrastive=14.3929
[Epoch 17/30] Train loss=2.148, Valid RMSE=0.854
[Epoch 18] rating=0.6956, contrastive=14.3631
[Epoch 18/30] Train loss=2.132, Valid RMSE=0.849
[Epoch 19] rating=0.6832, contrastive=14.3312
[Epoch 19/30] Train loss=2.116, Valid RMSE=0.848
[Epoch 20] rating=0.6697, contrastive=14.2973
[Epoch 20/30] Train loss=2.099, Valid RMSE=0.844
[Epoch 21] rating=0.6556, contrastive=14.2637
[Epoch 21/30] Train loss=2.082, Valid RMSE=0.845
[Epoch 22] rating=0.6401, contrastive=14.2247
[Epoch 22/30] Train loss=2.063, Valid RMSE=0.845
[Epoch 23] rating=0.6238, contrastive=14.1868
[Epoch 23/30] Train loss=2.042, Valid RMSE=0.844
[Epoch 24] rating=0.6069, contrastive=14.1489
[Epoch 24/30] Train loss=2.022, Valid RMSE=0.843
[Epoch 25] rating=0.5892, contrastive=14.1094
[Epoch 25/30] Train loss=2.000, Valid RMSE=0.845
[Epoch 26] rating=0.5716, contrastive=14.0744
[Epoch 26/30] Train loss=1.979, Valid RMSE=0.849
[Epoch 27] rating=0.5550, contrastive=14.0415
[Epoch 27/30] Train loss=1.959, Valid RMSE=0.852
[Epoch 28] rating=0.5415, contrastive=14.0142
[Epoch 28/30] Train loss=1.943, Valid RMSE=0.854
[Epoch 29] rating=0.5309, contrastive=13.9963
[Epoch 29/30] Train loss=1.931, Valid RMSE=0.858
[Epoch 30] rating=0.5243, contrastive=13.9845
[Epoch 30/30] Train loss=1.923, Valid RMSE=0.859
Validation RMSE: 0.843
saving to: contrast_epochs30_seed1337_multince1.csv
