Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: tqdm in /home/shgoel/.local/lib/python3.12/site-packages (4.67.1)
Using: cuda
[Epoch 1] rating=1.0130, contrastive=15.1740
[Epoch 1/30] Train loss=2.530, Valid RMSE=0.916
[Epoch 2] rating=0.8261, contrastive=14.9233
[Epoch 2/30] Train loss=2.318, Valid RMSE=0.901
[Epoch 3] rating=0.7926, contrastive=14.7730
[Epoch 3/30] Train loss=2.270, Valid RMSE=0.884
[Epoch 4] rating=0.7676, contrastive=14.6540
[Epoch 4/30] Train loss=2.233, Valid RMSE=0.876
[Epoch 5] rating=0.7464, contrastive=14.5679
[Epoch 5/30] Train loss=2.203, Valid RMSE=0.868
[Epoch 6] rating=0.7249, contrastive=14.4959
[Epoch 6/30] Train loss=2.174, Valid RMSE=0.865
[Epoch 7] rating=0.7030, contrastive=14.4230
[Epoch 7/30] Train loss=2.145, Valid RMSE=0.859
[Epoch 8] rating=0.6791, contrastive=14.3488
[Epoch 8/30] Train loss=2.114, Valid RMSE=0.857
[Epoch 9] rating=0.6548, contrastive=14.2804
[Epoch 9/30] Train loss=2.083, Valid RMSE=0.858
[Epoch 10] rating=0.6355, contrastive=14.2313
[Epoch 10/30] Train loss=2.059, Valid RMSE=0.860
[Epoch 11] rating=0.7287, contrastive=14.5135
[Epoch 11/30] Train loss=2.180, Valid RMSE=0.873
[Epoch 12] rating=0.7168, contrastive=14.4874
[Epoch 12/30] Train loss=2.166, Valid RMSE=0.865
[Epoch 13] rating=0.7076, contrastive=14.4645
[Epoch 13/30] Train loss=2.154, Valid RMSE=0.863
[Epoch 14] rating=0.7007, contrastive=14.4451
[Epoch 14/30] Train loss=2.145, Valid RMSE=0.861
[Epoch 15] rating=0.6929, contrastive=14.4240
[Epoch 15/30] Train loss=2.135, Valid RMSE=0.863
[Epoch 16] rating=0.6839, contrastive=14.4024
[Epoch 16/30] Train loss=2.124, Valid RMSE=0.860
[Epoch 17] rating=0.6735, contrastive=14.3767
[Epoch 17/30] Train loss=2.111, Valid RMSE=0.861
[Epoch 18] rating=0.6622, contrastive=14.3495
[Epoch 18/30] Train loss=2.097, Valid RMSE=0.858
[Epoch 19] rating=0.6496, contrastive=14.3146
[Epoch 19/30] Train loss=2.081, Valid RMSE=0.858
[Epoch 20] rating=0.6354, contrastive=14.2791
[Epoch 20/30] Train loss=2.063, Valid RMSE=0.855
[Epoch 21] rating=0.6184, contrastive=14.2402
[Epoch 21/30] Train loss=2.042, Valid RMSE=0.857
[Epoch 22] rating=0.6005, contrastive=14.1977
[Epoch 22/30] Train loss=2.020, Valid RMSE=0.859
[Epoch 23] rating=0.5797, contrastive=14.1540
[Epoch 23/30] Train loss=1.995, Valid RMSE=0.860
[Epoch 24] rating=0.5577, contrastive=14.1062
[Epoch 24/30] Train loss=1.968, Valid RMSE=0.865
[Epoch 25] rating=0.5353, contrastive=14.0624
[Epoch 25/30] Train loss=1.942, Valid RMSE=0.866
[Epoch 26] rating=0.5128, contrastive=14.0178
[Epoch 26/30] Train loss=1.915, Valid RMSE=0.872
[Epoch 27] rating=0.4923, contrastive=13.9810
[Epoch 27/30] Train loss=1.890, Valid RMSE=0.878
[Epoch 28] rating=0.4745, contrastive=13.9478
[Epoch 28/30] Train loss=1.869, Valid RMSE=0.884
[Epoch 29] rating=0.4623, contrastive=13.9288
[Epoch 29/30] Train loss=1.855, Valid RMSE=0.890
[Epoch 30] rating=0.4549, contrastive=13.9143
[Epoch 30/30] Train loss=1.846, Valid RMSE=0.890
Validation RMSE: 0.855
saving to: contrast_epochs30_seed2023_multince1.csv
